iter	RMSE
0	193830.3054
1	186523.4224
2	179718.755
3	173948.5921
4	168358.8068
5	163616.8931
6	159254.1742
7	154843.1861
8	150785.3712
9	147177.7641
10	143946.3329
11	141137.3455
12	138421.5047
13	135845.8992
14	133578.5683
15	131226.6999
16	129460.6406
17	127470.5201
18	125850.0534
19	124278.2539
20	122632.6048
21	121401.0402
22	120172.6969
23	119124.8718
24	118117.8902
25	117236.0692
26	116457.9016
27	115697.9177
28	114955.9759
29	114367.5618
30	113793.2653
31	113283.982
32	112615.1953
33	112230.286
34	111752.4608
35	111344.598
36	110992.1385
37	110649.4358
38	109511.3031
39	109155.8413
40	108889.0087
41	108552.14
42	108230.948
43	107934.3114
44	107748.0266
45	107530.7743
46	107305.3379
47	107033.665
48	106767.6488
49	106644.4541
50	106477.8825
51	106302.8176
52	106172.2231
53	105946.1541
54	105851.7838
55	105660.5812
56	105463.2164
57	105271.049
58	105009.3352
59	104795.1173
60	104709.874
61	104574.2494
62	103651.4774
63	102758.5134
64	102685.0471
65	102497.9652
66	102352.4865
67	102216.5289
68	102097.2936
69	101950.0017
70	101507.7706
71	101382.2102
72	101268.5463
73	101182.93
74	100995.8388
75	100694.8749
76	100471.3798
77	100120.4128
78	99968.54259
79	99895.95583
80	99765.74128
81	99102.92915
82	98781.80568
83	98721.56264
84	98648.45868
85	98497.17144
86	98456.4019
87	98343.98989
88	98249.93253
89	98169.44354
90	97888.80151
91	97759.13077
92	97207.99084
93	96989.43936
94	96816.8174
95	96721.10096
96	96589.56286
97	96332.74453
98	96269.18231
99	96124.62561
100	96069.75829
101	96031.21134
102	96006.0418
103	95968.25238
104	95932.72794
105	95800.2237
106	95714.01897
107	95676.74737
108	95513.35499
109	95407.77999
110	95323.9896
111	95250.53775
112	95193.99987
113	95089.71838
114	95062.5019
115	94903.57645
116	94870.84814
117	94753.33152
118	94568.21952
119	94492.77975
120	94472.90109
121	94419.34572
122	94400.87631
123	94368.87966
124	94277.13051
125	94244.04997
126	94112.84568
127	94037.6891
128	93807.2964
129	93781.00042
130	93734.02497
131	93584.00202
132	93344.02918
133	92993.79244
134	92915.01219
135	92826.15339
136	92724.17087
137	92580.36068
138	92491.93392
139	91788.86412
140	91723.09836
141	91559.51662
142	91517.36173
143	91189.33171
144	91176.3129
145	91162.25484
146	91118.15613
147	90487.51228
148	90419.76708
149	89781.74737
150	89216.7085
151	89122.97145
152	88602.68347
153	88060.4209
154	87917.01846
155	87824.86449
156	87701.7686
157	87636.93534
158	87508.55593
159	87445.54522
160	87322.2716
161	87251.34603
162	87198.73073
163	87096.15885
164	86998.30965
165	86918.60504
166	86444.57532
167	86316.09357
168	86204.36032
169	86063.13921
170	85955.19735
171	85891.78295
172	85766.44285
173	85683.81077
174	85193.94046
175	85076.63361
176	84981.23134
177	84890.37177
178	84427.94284
179	84336.00005
180	84230.43358
181	84135.01278
182	84049.16231
183	83988.52742
184	83905.53969
185	83808.88541
186	83716.58465
187	83621.07896
188	83529.68345
189	83407.4741
190	83334.35516
191	83276.85757
192	83191.67445
193	82752.84257
194	82672.79993
195	82559.03275
196	82487.96261
197	82411.76097
198	82338.63294
199	82283.77226
200	82224.01472
201	82107.77416
202	81710.98216
203	81431.09503
204	81340.3714
205	81296.26886
206	81227.44945
207	81161.38046
208	80805.06861
209	80782.42399
210	80672.13827
211	80608.31186
212	80556.32504
213	80508.21019
214	80442.44057
215	80381.0391
216	80270.40274
217	80236.90997
218	80195.19786
219	79862.71911
220	79805.7739
221	79746.40479
222	79702.16813
223	79692.28774
224	79635.2514
225	79587.17585
226	79577.91346
227	79461.84091
228	79406.93314
229	79092.84846
230	79083.94403
231	79030.97706
232	79010.31371
233	78985.08681
234	78941.26165
235	78901.30362
236	78774.38345
237	78725.71299
238	78707.0562
239	78698.44982
240	78607.91152
241	78561.58238
242	78488.76347
243	78480.9062
244	78457.09939
245	78420.33583
246	78375.43068
247	78317.37718
248	78272.752
249	78230.25803
250	78196.65557
251	78131.14447
252	78123.857
253	78056.42006
254	77937.87978
255	77899.14272
256	77832.69074
257	77796.17772
258	77779.92802
259	77762.44855
260	77746.94218
261	77740.20683
262	77663.93182
263	77623.32027
264	77575.16684
265	77536.09568
266	77518.217
267	77457.14998
268	77406.82374
269	77344.39325
270	77286.14646
271	77209.42524
272	77119.18947
273	77111.49592
274	77074.45354
275	77038.7525
276	77003.11899
277	76703.39281
278	76679.84905
279	76611.17598
280	76532.69429
281	76477.25603
282	76329.9889
283	76295.69624
284	76252.77059
285	76223.66154
286	76160.3859
287	76119.68621
288	76084.96308
289	76026.14114
290	75977.51706
291	75936.49532
292	75862.83941
293	75832.82815
294	75799.68555
295	75767.80693
296	75478.24302
297	75447.46112
298	75174.85507
299	75161.25314
300	75127.47906
301	75035.82034
302	75006.02997
303	74964.25888
304	74913.98333
305	74882.25938
306	74807.19866
307	74791.01168
308	74767.14253
309	74752.67021
310	74686.38296
311	74669.51713
312	74641.14095
313	74628.53753
314	74612.89661
315	74603.16531
316	74581.98473
317	74528.34788
318	74493.85141
319	74455.0547
320	74426.85908
321	74167.18937
322	74086.70164
323	74064.34558
324	74050.39626
325	74022.92277
326	73954.50542
327	73892.77005
328	73865.25047
329	73818.43949
330	73804.02882
331	73783.26738
332	73760.22521
333	73695.3747
334	73642.40411
335	73573.82853
336	73498.1636
337	73455.33614
338	73420.46094
339	73388.37952
340	73362.39064
341	73338.7069
342	73298.66528
343	73173.13892
344	73147.19956
345	73117.44045
346	73097.25155
347	73072.22247
348	72836.30015
349	72812.12694
350	72755.63133
351	72747.76508
352	72511.9461
353	72488.58882
354	72480.70721
355	72264.8465
356	72204.89733
357	72187.45754
358	72152.01367
359	72129.41098
360	71930.69467
361	71907.02948
362	71885.18662
363	71877.88733
364	71870.81595
365	71863.79983
366	71846.48864
367	71794.36804
368	71725.39281
369	71704.28328
370	71630.29603
371	71591.52898
372	71570.60194
373	71563.94625
374	71365.63414
375	71333.80101
376	71181.4225
377	71144.23876
378	70966.50706
379	70793.39614
380	70751.67305
381	70745.05465
382	70717.41416
383	70698.64985
384	70653.09757
385	70626.10093
386	70590.47721
387	70551.36728
388	70465.41346
389	70413.18715
390	70392.23392
391	70378.19658
392	70372.06945
393	70345.45949
394	70331.87197
395	70301.58704
396	70281.89562
397	70248.36749
398	70222.40019
399	70167.4173
400	70049.00513
401	69898.44388
402	69892.46593
403	69753.33794
404	69710.58419
405	69678.37807
406	69663.35272
407	69644.4765
408	69607.43363
409	69585.26547
410	69511.73858
411	69447.14332
412	69441.2504
413	69435.21805
414	69429.679
415	69403.78915
416	69381.05179
417	69312.62833
418	69295.01469
419	69289.71955
420	69272.71652
421	69259.64537
422	69154.23791
423	69135.16632
424	69100.64914
425	69029.57632
426	68882.03089
427	68876.47743
428	68871.47109
429	68837.043
430	68692.66595
431	68675.80198
432	68653.81674
433	68644.00969
434	68627.99012
435	68606.53431
436	68480.0138
437	68441.61791
438	68426.31354
439	68388.1888
440	68376.44054
441	68367.29141
442	68340.92248
443	68272.17735
444	68259.38337
445	68228.76961
446	68110.43759
447	68073.99114
448	68045.48972
449	68032.2976
450	67974.3702
451	67931.61454
452	67919.17364
453	67898.27055
454	67887.66465
455	67878.86385
456	67854.65876
457	67785.77405
458	67664.63793
459	67652.08445
460	67612.29538
461	67600.19841
462	67497.68855
463	67483.45983
464	67455.47285
465	67442.04201
466	67412.14297
467	67385.185
468	67362.15703
469	67346.77184
470	67322.89784
471	67277.15355
472	67251.36703
473	67242.66376
474	67232.5392
475	67196.14161
476	67122.20937
477	67089.41448
478	67077.21739
479	67057.71058
480	67045.67109
481	67033.87092
482	67015.97225
483	67004.52652
484	66990.82688
485	66973.2134
486	66950.70628
487	66936.06838
488	66928.07494
489	66891.9424
490	66880.49991
491	66875.22362
492	66854.29018
493	66741.02895
494	66671.92525
495	66662.82218
496	66655.52913
497	66633.71736
498	66529.20946
499	66525.15123
500	66521.22016
501	66510.02774
502	66499.25853
503	66492.63599
504	66476.60188
505	66421.95613
506	66404.14694
507	66353.95341
508	66350.12725
509	66346.42126
