iter	Passed	Remaining
0	139	139696
1	142	70903
2	144	47856
3	145	36317
4	147	29404
5	149	24795
6	151	21514
7	153	19039
8	155	17121
9	157	15585
10	159	14339
11	161	13294
12	163	12418
13	165	11665
14	167	11010
15	169	10427
16	171	9911
17	173	9454
18	175	9044
19	177	8676
20	178	8343
21	180	8040
22	182	7771
23	184	7518
24	186	7285
25	188	7068
26	190	6866
27	192	6677
28	194	6505
29	196	6342
30	198	6210
31	201	6080
32	203	5955
33	205	5833
34	208	5735
35	210	5642
36	212	5541
37	214	5439
38	216	5339
39	218	5244
40	220	5157
41	222	5079
42	224	4995
43	226	4916
44	228	4844
45	230	4772
46	231	4701
47	233	4633
48	235	4567
49	236	4495
50	238	4437
51	240	4378
52	241	4322
53	243	4269
54	245	4218
55	247	4169
56	249	4121
57	250	4075
58	252	4030
59	254	3987
60	256	3944
61	258	3903
62	259	3864
63	261	3826
64	263	3788
65	265	3752
66	266	3716
67	268	3681
68	270	3646
69	271	3612
70	273	3581
71	275	3550
72	277	3519
73	278	3489
74	280	3461
75	282	3437
76	284	3411
77	286	3385
78	288	3361
79	290	3335
80	291	3310
81	293	3288
82	295	3266
83	297	3242
84	299	3219
85	300	3196
86	302	3175
87	304	3154
88	306	3133
89	307	3112
90	309	3093
91	311	3073
92	313	3053
93	314	3035
94	316	3016
95	318	3000
96	320	2985
97	322	2968
98	324	2951
99	326	2935
100	327	2918
101	329	2901
102	331	2884
103	332	2868
104	334	2854
105	336	2839
106	338	2823
107	340	2808
108	341	2794
109	343	2780
110	345	2766
111	346	2751
112	348	2737
113	350	2723
114	352	2709
115	353	2696
116	355	2684
117	357	2673
118	359	2662
119	361	2649
120	362	2636
121	364	2624
122	366	2611
123	368	2599
124	369	2588
125	371	2576
126	373	2565
127	374	2553
128	376	2542
129	378	2531
130	380	2522
131	381	2511
132	383	2501
133	385	2490
134	387	2481
135	388	2470
136	390	2461
137	392	2452
138	394	2444
139	396	2437
140	398	2429
141	400	2421
142	402	2413
143	404	2404
144	406	2396
145	408	2388
146	411	2385
147	414	2383
148	416	2379
149	418	2372
150	420	2364
151	422	2356
152	424	2348
153	426	2341
154	428	2333
155	430	2326
156	432	2319
157	434	2313
158	436	2306
159	437	2299
160	439	2292
161	441	2284
162	443	2276
163	445	2269
164	447	2262
165	448	2254
166	450	2248
167	452	2241
168	454	2235
